Dataset;Latitude;Longitude
MOOSE;42.165;4.3005
MOOSE;42.165;4.3005
MOOSE;42.165;4.3005
MOOSE;42.165;4.3005
MOOSE;42.165;4.3005
MOOSE;42.165;4.3005
MOOSE;43.1498;8.15
MOOSE;43.1498;8.15
MOOSE;43.1498;8.15
MOOSE;43.1498;8.15
MOOSE;43.1498;8.15
MOOSE;43.1498;8.15
MOOSE;43.8828;9.6328
MOOSE;43.8828;9.6328
MOOSE;43.8828;9.6328
MOOSE;43.8828;9.6328
MOOSE;43.8828;9.6328
MOOSE;43.8828;9.6328
MOOSE;43.4142;7.8752
MOOSE;43.4142;7.8752
MOOSE;43.4142;7.8752
MOOSE;43.4142;7.8752
MOOSE;43.4142;7.8752
MOOSE;43.4142;7.8752
MOOSE;43.5333;7.616
MOOSE;43.5333;7.616
MOOSE;43.5333;7.616
MOOSE;43.5333;7.616
MOOSE;43.5333;7.616
MOOSE;43.5333;7.616
MOOSE;42.7177;8.616
MOOSE;42.7177;8.616
MOOSE;42.7177;8.616
MOOSE;42.7177;8.616
MOOSE;42.7177;8.616
MOOSE;42.7177;8.616
MOOSE;42.15;7.684
MOOSE;42.15;7.684
MOOSE;42.15;7.684
MOOSE;42.15;7.684
MOOSE;42.15;7.684
MOOSE;42.15;7.684
MOOSE;43.032;5.1995
MOOSE;43.032;5.1995
MOOSE;43.032;5.1995
MOOSE;43.032;5.1995
MOOSE;43.032;5.1995
MOOSE;43.032;5.1995
MOOSE;40.2668;4.184
MOOSE;40.2668;4.184
MOOSE;40.2668;4.184
MOOSE;40.2668;4.184
MOOSE;40.2668;4.184
MOOSE;40.2668;4.184
MOOSE;41.6155;3.6325
MOOSE;41.6155;3.6325
MOOSE;41.6155;3.6325
MOOSE;41.6155;3.6325
MOOSE;41.6155;3.6325
MOOSE;41.6155;3.6325
MOOSE;42.4163;3.5498
MOOSE;42.4163;3.5498
MOOSE;42.4163;3.5498
MOOSE;42.4163;3.5498
MOOSE;42.4163;3.5498
MOOSE;42.4163;3.5498
MOOSE;41.9338;4.9843
MOOSE;41.9338;4.9843
MOOSE;41.9338;4.9843
MOOSE;41.9338;4.9843
MOOSE;41.9338;4.9843
MOOSE;41.9338;4.9843
MOOSE;41.4163;6.4502
MOOSE;41.4163;6.4502
MOOSE;41.4163;6.4502
MOOSE;41.4163;6.4502
MOOSE;41.4163;6.4502
MOOSE;41.4163;6.4502
MOOSE;40.0015;8.0333
MOOSE;40.0015;8.0333
MOOSE;40.0015;8.0333
MOOSE;40.0015;8.0333
MOOSE;40.0015;8.0333
MOOSE;40.0015;8.0333
MOOSE;40.3013;6.2832
MOOSE;40.3013;6.2832
MOOSE;40.3013;6.2832
MOOSE;40.3013;6.2832
MOOSE;40.3013;6.2832
MOOSE;40.3013;6.2832
MOOSE;42.9992;6.0005
MOOSE;42.9992;6.0005
MOOSE;42.9992;6.0005
MOOSE;42.9992;6.0005
MOOSE;42.9992;6.0005
MOOSE;42.9992;6.0005
MOOSE;43.63318398;7.382198992
MOOSE;43.63318398;7.382198992
MOOSE;43.6332;7.3822
MOOSE;43.6332;7.3822
MOOSE;43.6332;7.3822
MOOSE;43.6332;7.3822
MOOSE;42.8847;4.3422
MOOSE;42.8847;4.3422
MOOSE;42.8847;4.3422
MOOSE;42.8847;4.3422
MOOSE;42.8847;4.3422
MOOSE;42.8847;4.3422
MOOSE;40.2952;6.2883
MOOSE;40.2952;6.2883
MOOSE;40.2952;6.2883
MOOSE;40.2952;6.2883
MOOSE;40.2952;6.2883
MOOSE;40.2952;6.2883
MOOSE;43.4087;7.8655
MOOSE;43.4087;7.8655
MOOSE;43.4087;7.8655
MOOSE;43.4087;7.8655
MOOSE;43.4087;7.8655
MOOSE;43.4087;7.8655
MOOSE;43;9.2478
MOOSE;43;9.2478
MOOSE;43;9.2478
MOOSE;43;9.2478
MOOSE;43;9.2478
MOOSE;43;9.2478
MOOSE;43.8308;9.5367
MOOSE;43.8308;9.5367
MOOSE;43.8308;9.5367
MOOSE;43.8308;9.5367
MOOSE;43.8308;9.5367
MOOSE;43.8308;9.5367
MOOSE;39.9945;8.0287
MOOSE;39.9945;8.0287
MOOSE;39.9945;8.0287
MOOSE;39.9945;8.0287
MOOSE;39.9945;8.0287
MOOSE;39.9945;8.0287
MOOSE;42.9695;7.8218
MOOSE;42.9695;7.8218
MOOSE;42.9695;7.8218
MOOSE;42.9695;7.8218
MOOSE;42.9695;7.8218
MOOSE;42.9695;7.8218
MOOSE;40.9667;7.6338
MOOSE;40.9667;7.6338
MOOSE;40.9667;7.6338
MOOSE;40.9667;7.6338
MOOSE;40.9667;7.6338
MOOSE;40.9667;7.6338
MOOSE;41.7325;5.5492
MOOSE;41.7325;5.5492
MOOSE;41.7325;5.5492
MOOSE;41.7325;5.5492
MOOSE;41.7325;5.5492
MOOSE;41.7325;5.5492
MOOSE;42.1503;6.135
MOOSE;42.1503;6.135
MOOSE;42.1503;6.135
MOOSE;42.1503;6.135
MOOSE;42.1503;6.135
