Dataset;Latitude;Longitude
Malaspina;12;-108.08
Malaspina;19;-55.15
Malaspina;34;-12.78
Malaspina;-1.3;-168.35
Malaspina;-11.24;-172.63
Malaspina;-13.53;-173.37
Malaspina;-15.83;-33.4
Malaspina;-15.9;-174.49
Malaspina;-18.42;-34.64
Malaspina;-18.56;-175.82
Malaspina;-21.09;-35.97
Malaspina;-23.38;-178.21
Malaspina;-24.32;-36.22
Malaspina;-24.79;-33.48
Malaspina;-25.43;-30.07
Malaspina;-25.49;-179.52
Malaspina;-25.87;-27.57
Malaspina;-26.95;-21.4
Malaspina;-27.55;-18.09
Malaspina;-27.98;63.25
Malaspina;-28.13;66.49
Malaspina;-28.41;179.14
Malaspina;-28.65;-11.81
Malaspina;-29.35;69.4
Malaspina;-29.56;72.44
Malaspina;-29.57;96.41
Malaspina;-29.63;92.98
Malaspina;-29.75;86.26
Malaspina;-29.77;-5.31
Malaspina;-29.81;82.62
Malaspina;-29.83;79.61
Malaspina;-29.9;76.09
Malaspina;-3.03;-27.33
Malaspina;-3.41;-169.46
Malaspina;-30.06;61.43
Malaspina;-30.26;-2.44
Malaspina;-30.33;103.31
Malaspina;-30.33;103.32
Malaspina;-30.88;0.97
Malaspina;-31.31;3.75
Malaspina;-31.83;6.86
Malaspina;-32.81;12.77
Malaspina;-33.19;43.25
Malaspina;-33.23;15.34
Malaspina;-33.56;39.88
Malaspina;-33.91;37.04
Malaspina;-34.06;176.02
Malaspina;-34.44;31.11
Malaspina;-34.84;27.55
Malaspina;-35.14;25.56
Malaspina;-35.98;117.41
Malaspina;-36.64;151.01
Malaspina;-37.89;127.75
Malaspina;-38.62;150.42
Malaspina;-39.87;138.74
Malaspina;-7.28;-29.32
Malaspina;-9.13;-30.19
Malaspina;-9.47;-172.3
Malaspina;1.6;-166.85
Malaspina;10.09;-99.25
Malaspina;10.76;-102.44
Malaspina;11.35;-105.01
Malaspina;11.59;-162.41
Malaspina;12.36;-74.04
Malaspina;12.5;-25.99
Malaspina;13.21;-113.26
Malaspina;13.8;-115.76
Malaspina;14.16;-71.67
Malaspina;14.52;-26
Malaspina;15.07;-69.3
Malaspina;15.31;-122
Malaspina;15.31;-122
Malaspina;15.53;-67.01
Malaspina;15.91;-124.47
Malaspina;16.16;-26.03
Malaspina;17.37;-130.61
Malaspina;17.43;-59.83
Malaspina;17.97;-159.43
Malaspina;18.03;-133.26
Malaspina;18.06;-57.8
Malaspina;18.65;-136.18
Malaspina;19.28;-138.97
Malaspina;19.89;-141.59
Malaspina;19.99;-52.64
Malaspina;20.78;-148.27
Malaspina;20.8;-50.14
Malaspina;21.06;-150.32
Malaspina;21.57;-153.42
Malaspina;21.89;-155.66
Malaspina;23.27;-22.22
Malaspina;23.74;-41.9
Malaspina;24.84;-38.71
Malaspina;24.97;-21.05
Malaspina;26.11;-35.26
Malaspina;26.91;-32.84
Malaspina;28.7;-18.87
Malaspina;28.87;-26.95
Malaspina;29.68;-17.29
Malaspina;29.97;-23.69
Malaspina;3.75;-165.77
Malaspina;30.97;-20.65
Malaspina;32.08;-17.27
Malaspina;4.99;-26
BioMarKs;40.8;14.25
BioMarKs;41.667;2.8
BioMarKs;43.167;28.833
BioMarKs;43.667;-5.583
BioMarKs;48.767;-3.95
Malaspina;5.91;-84.79
BioMarKs;59.267;10.717
Malaspina;6.99;-164.37
Malaspina;7.22;-87.96
Malaspina;8.14;-90.37
Malaspina;9.2;-163.5
Malaspina;9.45;-96.34
Malaspina;9.56;-25.99
