Sample;Dataset;Sea;Sequencing;Date;Year;Month;Depth_type;Size_fraction;Depth;Latitude;Longitude;T;S;O2;pH;NO3;NO2;NH4;PO4;SIOH4;Chla
X3816.1.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;26/03/2007;2007;March;SRF;3;3;42.29;3.8;12.34;38.099;6.41;7.99;0.47;0.13;0.87;0;0.08;0.86
X3816.2.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;04/10/2007;2007;October;SRF;3;3;42.29;3.8;13.31;37.773;6.1;8.12;0.57;0.12;0.38;0;0.41;0.43
X3816.3.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;16/04/2007;2007;April;SRF;3;3;42.29;3.8;14.35;36.255;6.23;8.12;2.11;0.14;1.27;0.01;0.77;2.1
X3816.4.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;23/04/2007;2007;April;SRF;3;3;42.29;3.8;15.31;36.747;6.56;8.19;0.49;0.06;0.3;0.01;1.18;0.86
X3816.5.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;02/05/2007;2007;May;SRF;3;3;42.29;3.8;17.74;36.494;6.47;8.19;0.72;0.06;1.26;0;0.12;0.3
X3816.6.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;09/05/2007;2007;May;SRF;3;3;42.29;3.8;15.92;36.838;6.04;8.14;0.7;0.07;0.26;0;0.39;0.38
X3816.7.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;21/05/2007;2007;May;SRF;3;3;42.29;3.8;16.73;37.432;6.22;8.03;0;0;0.13;0;0.06;0.55
X3816.8.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;28/05/2007;2007;May;SRF;3;3;42.29;3.8;16.2;37.734;5.73;8.15;0.3;0.03;1.09;0.02;0.49;0.33
X3816.9.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;04/06/2007;2007;June;SRF;3;3;42.29;3.8;16.45;37.802;5.91;8.11;0.06;0;1.31;0.02;0.49;0.33
X3816.10.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;02/07/2007;2007;July;SRF;3;3;42.29;3.8;20.18;37.359;5.62;8.04;0.03;0;0.41;0;NA;0.08
X3816.11.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;03/09/2007;2007;September;SRF;3;3;42.29;3.8;19.21;38.019;4.97;8.09;0.16;0;0.29;0.04;1.24;NA
X3816.12.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;10/03/2008;2008;March;SRF;3;3;42.29;3.8;11.17;37.68;6.77;8.35;1.27;0.24;0.09;0.02;0.88;0.63
X3816.13.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;02/04/2008;2008;April;SRF;3;3;42.29;3.8;12;38.116;6.52;8.23;0.21;0.03;0.05;0.06;0.66;2.61
X3816.14.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;19/05/2008;2008;May;SRF;3;3;42.29;3.8;17.31;35.621;5.87;8.21;2.87;0.14;0.29;0.03;1.21;0.44
X3816.15.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;09/06/2008;2008;June;SRF;3;3;42.29;3.8;17.76;37.004;5.92;8.15;0.01;0.03;0.05;0.03;0.71;0.65
X3816.16.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;15/07/2008;2008;July;SRF;3;3;42.29;3.8;21.24;37.623;5.74;8.1;0.12;0.03;0.05;0.03;1.29;0.11
X3816.17.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;18/08/2008;2008;August;SRF;3;3;42.29;3.8;21.42;37.884;5.79;8.13;0.12;0.03;0.05;0.03;0.67;0.05
X3816.18.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;10/09/2008;2008;September;SRF;3;3;42.29;3.8;19.21;37.522;5.75;8.06;0.21;0.04;0.23;0.04;1.28;0.39
X3816.19.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;08/10/2008;2008;October;SRF;3;3;42.29;3.8;17.56;37.509;6.01;8.18;0.19;0.03;0.09;0.02;1.45;0.28
X3816.20.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;12/11/2008;2008;November;SRF;3;3;42.29;3.8;16.23;37.95;5.75;8.29;0.52;0.13;1.19;0.02;1.63;0.41
X3816.21.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;05/01/2009;2009;January;SRF;3;3;42.29;3.8;11.05;36.385;5.94;8.24;5.73;0.8;0.11;0.07;6.27;1.07
X3816.22.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;09/02/2009;2009;February;SRF;3;3;42.29;3.8;10.56;36.881;6.31;8.21;3.31;0.29;0.37;0.03;3.29;1.03
X3816.23.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;23/02/2009;2009;February;SRF;3;3;42.29;3.8;11.3;37.63;6.11;8.04;1.57;0.31;0.19;0.02;1.84;0.21
X3816.24.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;09/03/2009;2009;March;SRF;3;3;42.29;3.8;10.82;37.614;5.78;8.03;1.8;0.39;0.22;0.02;2.23;0.36
X3816.25.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;23/03/2009;2009;March;SRF;3;3;42.29;3.8;12.06;37.827;6.24;8;1.54;0.09;0.39;0.08;1.4;0.76
X3816.26.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;06/04/2009;2009;April;SRF;3;3;42.29;3.8;11.99;37.821;6.06;7.91;1.96;0.16;0.63;0.09;1.67;0.3
X3816.27.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;20/04/2009;2009;April;SRF;3;3;42.29;3.8;12.82;36.675;NA;8.06;1.29;0.08;0.51;0.09;2.1;1.36
X3816.28.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;04/05/2009;2009;May;SRF;3;3;42.29;3.8;13.94;37.404;5.99;8.04;1.19;0.09;0.61;0.04;0.72;0.29
X3816.29.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;18/05/2009;2009;May;SRF;3;3;42.29;3.8;16.31;37.143;5.99;8.12;0.13;0.02;0.34;0.05;0.98;0.65
X3816.32.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;01/07/2009;2009;July;SRF;3;3;42.29;3.8;20.53;37.422;5.48;8.12;0.21;0.02;0.55;0.03;0.64;0.15
X3816.33.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;16/07/2009;2009;July;SRF;3;3;42.29;3.8;20.84;37.715;5.3;8.11;0.29;0.02;0.59;0.03;0.94;0.13
X3816.34.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;27/07/2009;2009;July;SRF;3;3;42.29;3.8;21.22;37.804;5.25;8.18;0.36;0.02;1.14;0.03;0.78;0.13
X3816.35.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;24/08/2009;2009;August;SRF;3;3;42.29;3.8;24.32;37.833;4.73;8.07;0.02;0.02;0.67;0.03;0.53;NA
X3816.36.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;09/09/2009;2009;September;SRF;3;3;42.29;3.8;22.56;38.019;5.11;8.09;0.02;0.02;0.61;0.03;0.56;0.07
X3816.37.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;21/09/2009;2009;September;SRF;3;3;42.29;3.8;20.18;38.039;5.32;7.94;0.02;0.02;0.7;0.03;0.86;0.15
X3816.38.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;13/10/2009;2009;October;SRF;3;3;42.29;3.8;20.84;38.132;5.1;7.99;0.05;0.02;0.29;0.03;1.18;0.3
X3816.39.Euk515.Euk951;SOLA;Mediterranean Sea;Illumina;26/10/2009;2009;October;SRF;3;3;42.29;3.8;17.53;38.203;5.32;7.97;0.05;0.03;0.34;0.03;1.72;0.48
