Dataset,Taxo_level,Unknowns
Astan,Kingdom,2.92
Astan,Supergroup,3.40
Astan,Division,4.31
Astan,Class,10.48
Astan,Order,39.56
Astan,Family,40.49
Astan,Genus,73.91
Astan,Species,87.87
Sola,Kingdom,0
Sola,Supergroup,0
Sola,Division,25.26
Sola,Class,33.81
Sola,Order,43.63
Sola,Family,49.12
Sola,Genus,69.37
Sola,Species,0
Moose,Kingdom,0
Moose,Supergroup,0.19
Moose,Division,1.20
Moose,Class,2.89
Moose,Order,18.24
Moose,Family,31.62
Moose,Genus,70.29
Moose,Species,80.43
Malaspina,Kingdom,34.77
Malaspina,Supergroup,34.90
Malaspina,Division,35.32
Malaspina,Class,36.35
Malaspina,Order,45.17
Malaspina,Family,52.90
Malaspina,Genus,88.51
Malaspina,Species,94.20
Blanes,Kingdom,27.79
Blanes,Supergroup,27.89
Blanes,Division,28.38
Blanes,Class,29.61
Blanes,Order,41.89
Blanes,Family,47.35
Blanes,Genus,81.67
Blanes,Species,89.18
Biomarks,Kingdom,5.97
Biomarks,Supergroup,6.03
Biomarks,Division,6.17
Biomarks,Class,9.45
Biomarks,Order,9.50
Biomarks,Family,25.33
Biomarks,Genus,42.99
Biomarks,Species,49.67
