Dataset,Division,Unknowns_div,Unknowns_abund
ASTAN,Dinoflagellata,31.227,49.594
ASTAN,Cryptophyta,0,14.105
ASTAN,Cercozoa,23.709,9.330
ASTAN,Ochrophyta,6.534,7.166
ASTAN,Opalozoa,6.486,0
ASTAN,Other,32.044,19.805
BioMarKs,Dinoflagellata,56.626,52.261
BioMarKs,Ciliophora,6.843,7.984
BioMarKs,Radiolaria,5.303,12.835
BioMarKs,Ochrophyta,7.792,7.439
BioMarKs,Sagenista,3.478,0
BioMarKs,Cryptophyta,0,2.572
BioMarKs,Other,19.958,16.909
BBMO,Dinoflagellata,57.210,68.071
BBMO,Ochrophyta,6.203,6.492
BBMO,Opalozoa,4.753,0
BBMO,Cryptophyta,0,4.029
BBMO,Sagenista,4.678,4.181
BBMO,Other,27.156,17.227
SOLA,Dinoflagellata,44.373,63.407
SOLA,Cercozoa,8.802,0
SOLA,Ciliophora,7.270,7.693
SOLA,Ochrophyta,8.579,5.964
SOLA,Opalozoa,0,4.383
SOLA,Other,30.976,18.553
Malaspina,Dinoflagellata,68.868,67.642
Malaspina,Radiolaria,11.221,18.445
Malaspina,Ochrophyta,3.514,7.221
Malaspina,Ciliophora,2.996,0
Malaspina,Sagenista,0,1.183
Malaspina,Other,13.401,5.509
MOOSE,Dinoflagellata,63.591,73.370
MOOSE,Radiolaria,8.611,1.520
MOOSE,Ochrophyta,4.557,3.147
MOOSE,Ciliophora,4.111,0
MOOSE,Opalozoa,0,1.310
MOOSE,Other,19.130,20.653
