"","Dataset","CC_id","Escouffier","RV"
"1","ASTAN","CC_unknown_535",1,0.248
"2","ASTAN","CC_unknown_154",2,0.32
"3","ASTAN","CC_unknown_532",3,0.372
"4","ASTAN","CC_unknown_168",4,0.409
"5","ASTAN","CC_unknown_547",5,0.442
"6","ASTAN","CC_unknown_368",6,0.471
"7","ASTAN","CC_unknown_13",7,0.491
"8","ASTAN","CC_unknown_109",8,0.511
"9","ASTAN","CC_unknown_363",9,0.53
"10","ASTAN","CC_unknown_257",10,0.544
"11","ASTAN","CC_unknown_498",11,0.557
"12","ASTAN","CC_unknown_370",12,0.57
"13","ASTAN","CC_unknown_244",13,0.581
"14","ASTAN","CC_unknown_172",14,0.592
"15","ASTAN","CC_unknown_77",15,0.602
"16","ASTAN","CC_unknown_210",16,0.611
"17","ASTAN","CC_known_12",17,0.619
"18","ASTAN","CC_unknown_183",18,0.627
"19","ASTAN","CC_unknown_550",19,0.634
"20","ASTAN","CC_unknown_35",20,0.641
"21","ASTAN","CC_unknown_30",21,0.648
"22","ASTAN","CC_unknown_254",22,0.655
"23","ASTAN","CC_unknown_80",23,0.661
"24","ASTAN","CC_unknown_307",24,0.667
"25","ASTAN","CC_unknown_441",25,0.672
"26","ASTAN","CC_unknown_462",26,0.678
"27","ASTAN","CC_unknown_530",27,0.683
"28","ASTAN","CC_unknown_126",28,0.689
"29","ASTAN","CC_unknown_328",29,0.693
"30","ASTAN","CC_unknown_209",30,0.697
"31","ASTAN","CC_unknown_134",31,0.702
"32","ASTAN","CC_unknown_339",32,0.706
"33","ASTAN","CC_unknown_272",33,0.71
"34","ASTAN","CC_unknown_496",34,0.714
"35","ASTAN","CC_unknown_295",35,0.717
"36","ASTAN","CC_unknown_483",36,0.721
"37","ASTAN","CC_unknown_553",37,0.725
"38","ASTAN","CC_unknown_20",38,0.728
"39","ASTAN","CC_unknown_12",39,0.731
"40","ASTAN","CC_unknown_349",40,0.734
"41","ASTAN","CC_unknown_58",41,0.737
"42","ASTAN","CC_unknown_62",42,0.74
"43","ASTAN","CC_unknown_362",43,0.743
"44","ASTAN","CC_unknown_227",44,0.746
"45","ASTAN","CC_unknown_320",45,0.749
"46","BBMO","CC_unknown_72",1,0.261
"47","BBMO","CC_unknown_330",2,0.344
"48","BBMO","CC_unknown_112",3,0.403
"49","BBMO","CC_unknown_562",4,0.442
"50","BBMO","CC_unknown_213",5,0.478
"51","BBMO","CC_unknown_2182",6,0.507
"52","BBMO","CC_unknown_1964",7,0.532
"53","BBMO","CC_unknown_401",8,0.552
"54","BBMO","CC_unknown_1225",9,0.567
"55","BBMO","CC_unknown_926",10,0.58
"56","BBMO","CC_unknown_129",11,0.592
"57","BBMO","CC_unknown_389",12,0.604
"58","BBMO","CC_unknown_154",13,0.615
"59","BBMO","CC_unknown_767",14,0.626
"60","BBMO","CC_unknown_1451",15,0.636
"61","BBMO","CC_unknown_1869",16,0.645
"62","BBMO","CC_unknown_1827",17,0.653
"63","BBMO","CC_unknown_1514",18,0.661
"64","BBMO","CC_unknown_1868",19,0.668
"65","BBMO","CC_unknown_1039",20,0.675
"66","BBMO","CC_unknown_1532",21,0.68
"67","BBMO","CC_unknown_482",22,0.686
"68","BBMO","CC_unknown_2139",23,0.691
"69","BBMO","CC_unknown_404",24,0.696
"70","BBMO","CC_unknown_989",25,0.701
"71","BBMO","CC_unknown_604",26,0.706
"72","BBMO","CC_unknown_161",27,0.711
"73","BBMO","CC_unknown_1960",28,0.716
"74","BBMO","CC_unknown_2212",29,0.721
"75","BBMO","CC_unknown_839",30,0.725
"76","BBMO","CC_unknown_894",31,0.729
"77","BBMO","CC_unknown_1775",32,0.733
"78","BBMO","CC_unknown_1893",33,0.737
"79","BBMO","CC_unknown_296",34,0.74
"80","BBMO","CC_unknown_1563",35,0.744
"81","BBMO","CC_unknown_126",36,0.747
"82","SOLA","CC_unknown_425",1,0.341
"83","SOLA","CC_unknown_164",2,0.436
"84","SOLA","CC_unknown_918",3,0.512
"85","SOLA","CC_unknown_126",4,0.551
"86","SOLA","CC_unknown_199",5,0.579
"87","SOLA","CC_unknown_149",6,0.604
"88","SOLA","CC_unknown_326",7,0.625
"89","SOLA","CC_unknown_39",8,0.643
"90","SOLA","CC_unknown_892",9,0.658
"91","SOLA","CC_unknown_171",10,0.673
"92","SOLA","CC_unknown_226",11,0.686
"93","SOLA","CC_unknown_1793",12,0.697
"94","SOLA","CC_unknown_143",13,0.707
"95","SOLA","CC_unknown_183",14,0.717
"96","SOLA","CC_unknown_333",15,0.728
"97","SOLA","CC_unknown_293",16,0.737
"98","SOLA","CC_unknown_1908",17,0.747
