"","Dataset","CC_id","Escouffier","RV","PNmax","Pvalue","Period","Periodicity"
"1","ASTAN","CC_unknown_535",1,0.248,99.725,0,372.56,1
"2","ASTAN","CC_unknown_154",2,0.32,41.522,0,363.25,1
"3","ASTAN","CC_unknown_532",3,0.372,89.553,0,363.25,1
"4","ASTAN","CC_unknown_168",4,0.409,10.56,0.0097,392.7,1
"5","ASTAN","CC_unknown_547",5,0.442,13.203,7e-04,354.39,1
"6","ASTAN","CC_unknown_368",6,0.471,3.001,1,27.36,0
"7","ASTAN","CC_unknown_13",7,0.491,102.62,0,363.25,1
"8","ASTAN","CC_unknown_109",8,0.511,9.28,0.0342,363.25,0
"9","ASTAN","CC_unknown_363",9,0.53,3.595,1,1210.8,0
"10","ASTAN","CC_unknown_257",10,0.544,77.824,0,363.25,1
"11","ASTAN","CC_unknown_498",11,0.557,33.229,0,363.25,1
"12","ASTAN","CC_unknown_370",12,0.57,40.716,0,363.25,1
"13","ASTAN","CC_unknown_244",13,0.581,4.456,0.9871,372.56,0
"14","ASTAN","CC_unknown_172",14,0.592,33.36,0,181.62,1
"15","ASTAN","CC_unknown_77",15,0.602,8.852,0.0519,125.26,0
"16","ASTAN","CC_unknown_210",16,0.611,9.309,0.0332,558.85,0
"17","ASTAN","CC_known_12",17,0.619,2.142,1,17.18,0
"18","ASTAN","CC_unknown_183",18,0.627,63.614,0,363.25,1
"19","ASTAN","CC_unknown_550",19,0.634,45.499,0,363.25,1
"20","ASTAN","CC_unknown_35",20,0.641,11.1,0.0056,2906,1
"21","ASTAN","CC_unknown_30",21,0.648,17.471,0,1614.4,1
"22","ASTAN","CC_unknown_254",22,0.655,2.347,1,1210.8,0
"23","ASTAN","CC_unknown_80",23,0.661,16.021,0,363.25,1
"24","ASTAN","CC_unknown_307",24,0.667,5.178,0.8784,2421.7,0
"25","ASTAN","CC_unknown_441",25,0.672,1.848,1,345.95,0
"26","ASTAN","CC_unknown_462",26,0.678,19.424,0,354.39,1
"27","ASTAN","CC_unknown_530",27,0.683,32.635,0,354.39,1
"28","ASTAN","CC_unknown_126",28,0.689,30.339,0,2906,1
"29","ASTAN","CC_unknown_328",29,0.693,3.199,1,17.44,0
"30","ASTAN","CC_unknown_209",30,0.697,2.931,1,29.59,0
"31","ASTAN","CC_unknown_134",31,0.702,47.33,0,363.25,1
"32","ASTAN","CC_unknown_339",32,0.706,2.631,1,1210.8,0
"33","ASTAN","CC_unknown_272",33,0.71,73.939,0,372.56,1
"34","ASTAN","CC_unknown_496",34,0.714,2.168,1,19.3,0
"35","ASTAN","CC_unknown_295",35,0.717,5.245,0.8603,250.52,0
"36","ASTAN","CC_unknown_483",36,0.721,39.84,0,354.39,1
"37","ASTAN","CC_unknown_553",37,0.725,10.356,0.0118,16.06,1
"38","ASTAN","CC_unknown_20",38,0.728,34.274,0,363.25,1
"39","ASTAN","CC_unknown_12",39,0.731,13.212,7e-04,354.39,1
"40","ASTAN","CC_unknown_349",40,0.734,2.574,1,29.47,0
"41","ASTAN","CC_unknown_58",41,0.737,15.912,0,354.39,1
