,Dataset,CC_id,mean_abundance,Year,Season
1,ASTAN,CC_unknown_12,0.05,2009,1
2,ASTAN,CC_unknown_12,0.05,2010,1
3,ASTAN,CC_unknown_12,0.05,2011,NA
4,ASTAN,CC_unknown_12,0.05,2012,NA
5,ASTAN,CC_unknown_12,0.05,2013,1
6,ASTAN,CC_unknown_12,0.05,2014,2
7,ASTAN,CC_unknown_12,0.05,2015,1
8,ASTAN,CC_unknown_12,0.05,2016,2
9,ASTAN,CC_unknown_13,0.98,2009,3
10,ASTAN,CC_unknown_13,0.98,2010,4
11,ASTAN,CC_unknown_13,0.98,2011,4
12,ASTAN,CC_unknown_13,0.98,2012,4
13,ASTAN,CC_unknown_13,0.98,2013,4
14,ASTAN,CC_unknown_13,0.98,2014,3
15,ASTAN,CC_unknown_13,0.98,2015,4
16,ASTAN,CC_unknown_13,0.98,2016,4
17,ASTAN,CC_unknown_20,0.18,2009,3
18,ASTAN,CC_unknown_20,0.18,2010,3
19,ASTAN,CC_unknown_20,0.18,2011,3
20,ASTAN,CC_unknown_20,0.18,2012,3
21,ASTAN,CC_unknown_20,0.18,2013,2
22,ASTAN,CC_unknown_20,0.18,2014,2
23,ASTAN,CC_unknown_20,0.18,2015,NA
24,ASTAN,CC_unknown_20,0.18,2016,2
25,ASTAN,CC_unknown_30,NA,2009,3
26,ASTAN,CC_unknown_30,NA,2010,1
27,ASTAN,CC_unknown_30,NA,2011,1
28,ASTAN,CC_unknown_30,NA,2012,1
29,ASTAN,CC_unknown_30,NA,2013,NA
30,ASTAN,CC_unknown_30,NA,2014,NA
31,ASTAN,CC_unknown_30,NA,2015,NA
32,ASTAN,CC_unknown_30,NA,2016,NA
33,ASTAN,CC_unknown_35,0.03,2009,1
34,ASTAN,CC_unknown_35,0.03,2010,4
35,ASTAN,CC_unknown_35,0.03,2011,2
36,ASTAN,CC_unknown_35,0.03,2012,2
37,ASTAN,CC_unknown_35,0.03,2013,1
38,ASTAN,CC_unknown_35,0.03,2014,2
39,ASTAN,CC_unknown_35,0.03,2015,2
40,ASTAN,CC_unknown_35,0.03,2016,1
41,ASTAN,CC_unknown_58,0.01,2009,3
42,ASTAN,CC_unknown_58,0.01,2010,2
43,ASTAN,CC_unknown_58,0.01,2011,2
44,ASTAN,CC_unknown_58,0.01,2012,1
45,ASTAN,CC_unknown_58,0.01,2013,1
46,ASTAN,CC_unknown_58,0.01,2014,NA
47,ASTAN,CC_unknown_58,0.01,2015,NA
48,ASTAN,CC_unknown_58,0.01,2016,1
49,ASTAN,CC_unknown_62,0.06,2009,2
50,ASTAN,CC_unknown_62,0.06,2010,3
51,ASTAN,CC_unknown_62,0.06,2011,2
52,ASTAN,CC_unknown_62,0.06,2012,4
53,ASTAN,CC_unknown_62,0.06,2013,3
54,ASTAN,CC_unknown_62,0.06,2014,3
55,ASTAN,CC_unknown_62,0.06,2015,4
56,ASTAN,CC_unknown_62,0.06,2016,2
57,ASTAN,CC_unknown_80,0.06,2009,2
58,ASTAN,CC_unknown_80,0.06,2010,2
59,ASTAN,CC_unknown_80,0.06,2011,3
60,ASTAN,CC_unknown_80,0.06,2012,3
61,ASTAN,CC_unknown_80,0.06,2013,2
62,ASTAN,CC_unknown_80,0.06,2014,2
63,ASTAN,CC_unknown_80,0.06,2015,3
64,ASTAN,CC_unknown_80,0.06,2016,4
65,ASTAN,CC_unknown_126,0.94,2009,4
66,ASTAN,CC_unknown_126,0.94,2010,4
67,ASTAN,CC_unknown_126,0.94,2011,4
68,ASTAN,CC_unknown_126,0.94,2012,4
69,ASTAN,CC_unknown_126,0.94,2013,4
70,ASTAN,CC_unknown_126,0.94,2014,4
71,ASTAN,CC_unknown_126,0.94,2015,4
72,ASTAN,CC_unknown_126,0.94,2016,4
73,ASTAN,CC_unknown_134,0.39,2009,2
74,ASTAN,CC_unknown_134,0.39,2010,4
75,ASTAN,CC_unknown_134,0.39,2011,3
76,ASTAN,CC_unknown_134,0.39,2012,2
77,ASTAN,CC_unknown_134,0.39,2013,3
78,ASTAN,CC_unknown_134,0.39,2014,4
79,ASTAN,CC_unknown_134,0.39,2015,2
80,ASTAN,CC_unknown_134,0.39,2016,2
81,ASTAN,CC_unknown_154,0.28,2009,NA
82,ASTAN,CC_unknown_154,0.28,2010,2
83,ASTAN,CC_unknown_154,0.28,2011,2
84,ASTAN,CC_unknown_154,0.28,2012,2
85,ASTAN,CC_unknown_154,0.28,2013,2
86,ASTAN,CC_unknown_154,0.28,2014,2
87,ASTAN,CC_unknown_154,0.28,2015,2
88,ASTAN,CC_unknown_154,0.28,2016,2
89,ASTAN,CC_unknown_168,NA,2009,1
90,ASTAN,CC_unknown_168,NA,2010,1
91,ASTAN,CC_unknown_168,NA,2011,NA
92,ASTAN,CC_unknown_168,NA,2012,NA
93,ASTAN,CC_unknown_168,NA,2013,NA
94,ASTAN,CC_unknown_168,NA,2014,2
95,ASTAN,CC_unknown_168,NA,2015,NA
96,ASTAN,CC_unknown_168,NA,2016,1
97,ASTAN,CC_unknown_172,0.48,2009,3
98,ASTAN,CC_unknown_172,0.48,2010,4
99,ASTAN,CC_unknown_172,0.48,2011,4
100,ASTAN,CC_unknown_172,0.48,2012,3
101,ASTAN,CC_unknown_172,0.48,2013,4
102,ASTAN,CC_unknown_172,0.48,2014,3
103,ASTAN,CC_unknown_172,0.48,2015,3
104,ASTAN,CC_unknown_172,0.48,2016,2
105,ASTAN,CC_unknown_183,0.52,2009,3
106,ASTAN,CC_unknown_183,0.52,2010,2
107,ASTAN,CC_unknown_183,0.52,2011,3
108,ASTAN,CC_unknown_183,0.52,2012,4
109,ASTAN,CC_unknown_183,0.52,2013,3
110,ASTAN,CC_unknown_183,0.52,2014,3
111,ASTAN,CC_unknown_183,0.52,2015,3
112,ASTAN,CC_unknown_183,0.52,2016,3
113,ASTAN,CC_unknown_227,0.04,2009,1
114,ASTAN,CC_unknown_227,0.04,2010,1
115,ASTAN,CC_unknown_227,0.04,2011,NA
116,ASTAN,CC_unknown_227,0.04,2012,2
117,ASTAN,CC_unknown_227,0.04,2013,1
118,ASTAN,CC_unknown_227,0.04,2014,3
119,ASTAN,CC_unknown_227,0.04,2015,3
120,ASTAN,CC_unknown_227,0.04,2016,4
121,ASTAN,CC_unknown_257,0.52,2009,4
122,ASTAN,CC_unknown_257,0.52,2010,4
123,ASTAN,CC_unknown_257,0.52,2011,3
124,ASTAN,CC_unknown_257,0.52,2012,4
125,ASTAN,CC_unknown_257,0.52,2013,4
126,ASTAN,CC_unknown_257,0.52,2014,3
127,ASTAN,CC_unknown_257,0.52,2015,3
128,ASTAN,CC_unknown_257,0.52,2016,3
129,ASTAN,CC_unknown_272,0.35,2009,2
130,ASTAN,CC_unknown_272,0.35,2010,3
131,ASTAN,CC_unknown_272,0.35,2011,3
132,ASTAN,CC_unknown_272,0.35,2012,3
133,ASTAN,CC_unknown_272,0.35,2013,3
134,ASTAN,CC_unknown_272,0.35,2014,2
135,ASTAN,CC_unknown_272,0.35,2015,3
136,ASTAN,CC_unknown_272,0.35,2016,2
137,ASTAN,CC_unknown_370,0.23,2009,2
138,ASTAN,CC_unknown_370,0.23,2010,1
139,ASTAN,CC_unknown_370,0.23,2011,2
140,ASTAN,CC_unknown_370,0.23,2012,3
141,ASTAN,CC_unknown_370,0.23,2013,2
142,ASTAN,CC_unknown_370,0.23,2014,2
143,ASTAN,CC_unknown_370,0.23,2015,2
144,ASTAN,CC_unknown_370,0.23,2016,2
145,ASTAN,CC_unknown_462,NA,2009,1
146,ASTAN,CC_unknown_462,NA,2010,NA
147,ASTAN,CC_unknown_462,NA,2011,NA
148,ASTAN,CC_unknown_462,NA,2012,NA
149,ASTAN,CC_unknown_462,NA,2013,NA
150,ASTAN,CC_unknown_462,NA,2014,3
151,ASTAN,CC_unknown_462,NA,2015,2
152,ASTAN,CC_unknown_462,NA,2016,2
153,ASTAN,CC_unknown_483,0.25,2009,1
